ID,TMDB ID,Wikidata ID,IMDB ID,Title,Budget,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters
212,447365,,tt6791350,Guardians of the Galaxy Vol. 3,250000000,2023-05-03,845600000,,4450,118414021,358995815,486559962,845555777,,,,,,,/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,Walt Disney Studios Motion Pictures,4450
213,872585,,tt15398776,Oppenheimer,100000000,2023-07-19,952000000,,3610,82455420,329862540,645732438,975594978,,,,,,,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,Universal Pictures,3761
214,447277,,tt5971474,The Little Mermaid,297000000,2023-05-18,569626289,,4320,95578040,298172056,271454233,569626289,,,,,,,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,Walt Disney Studios Motion Pictures,4320
215,787699,,tt6166392,Wonka,125000000,2023-12-06,632302312,,4203,39005800,218402312,416000000,634402312,,,,,,,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,Warner Bros.,4213
216,640146,,tt10954600,Ant-Man and the Wasp: Quantumania,388369742,2023-02-15,476071180,,4345,106109650,214504909,261566271,476071180,,,,,,,/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,Walt Disney Studios Motion Pictures,4345
217,603692,,tt10366206,John Wick: Chapter 4,90000000,2023-03-22,440157245,,3855,73817950,187131806,253048469,440180275,,,,,,,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,Lionsgate,3855
218,678512,,tt7599146,Sound of Freedom,14500000,2023-07-03,250600000,,2852,19680879,184178046,66392350,250570396,,,,,,,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,Angel Studios,3411
219,1160164,,tt28814949,TAYLOR SWIFT | THE ERAS TOUR,15000000,2023-10-13,261656269,,3855,93224755,180756269,80900000,261656269,,,,,,,/jf3YO8hOqGHCupsREf5qymYq1n.jpg,AMC Theatres,3855
220,335977,,tt1462764,Indiana Jones and the Dial of Destiny,294700000,2023-06-25,383963057,,4600,60368101,174480468,209482589,383963057,,,,,,,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,Walt Disney Studios Motion Pictures,4600
221,575264,,tt9603212,Mission: Impossible - Dead Reckoning Part One,291000000,2023-07-08,567535383,,4327,54688347,172135383,398484455,570619838,,,,,,,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,Paramount Pictures,4327
222,695721,,tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,100000000,2023-11-15,337371917,,3776,44607143,166350594,182549425,348900019,,,,,,,/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg,Lionsgate,3776
223,667538,,tt5090568,Transformers: Rise of the Beasts,195000000,2023-06-06,439000000,,3678,61045464,157066392,284314801,441381193,,,,,,,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,Paramount Pictures,3680
224,677179,,tt11145118,Creed III,75000000,2023-03-01,275300000,,4007,58370007,156248615,119900000,276148615,,,,,,,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,United Artists Releasing,4007
225,976573,,tt15789038,Elemental,200000000,2023-06-14,496000000,,4035,29602429,154426697,342017611,496444308,,,,,,,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,Walt Disney Studios Motion Pictures,4035
