TMDB ID,Title,Budget,IMDB ID,Release Date,Revenue,Primary Genre,Opening Weekend Theaters,Opening Weekend BO,Domestic BO,International BO,Total BO,RT Audience,RT Critic,Domestic Distributor,International Distributor,Director,Logged,Poster Path,Distributor,Widest Release Theaters,Wikidata ID
912908,Strays,46000000,tt15153532,2023-08-17,32000000,,,,,,,,,,,,,/muDaKftykz9Nj1mhRheMdbuNI9Z.jpg,,,
1056360,American Fiction,16000000,tt23561236,2023-11-10,22483370,,,,,,,,,,,,,/57MFWGHarg9jid7yfDTka4RmcMU.jpg,,,
1020006,Priscilla,20000000,tt22041854,2023-10-27,30140906,,,,,,,,,,,,,/h1zkZ1tncveFCoqt7Pv7TDYdG8w.jpg,,,
555285,"Are You There God? It's Me, Margaret.",30000000,tt9185206,2023-03-29,21800000,,,,,,,,,,,,,/tlzx1Ghh9A399vE6ljKf5DRitlg.jpg,,,
840430,The Holdovers,13000000,tt14849194,2023-10-27,42513270,,,,,,,,,,,,,/VHSzNBTwxV8vh7wylo7O9CLdac.jpg,,,
758323,The Pope's Exorcist,18000000,tt13375076,2023-04-05,76987621,,,,,,,,,,,,,/gNPqcv1tAifbN7PRNgqpzY8sEJZ.jpg,,,
365620,Ferrari,95000000,tt3758542,2023-12-14,39220516,,,,,,,,,,,,,/LyCOcGqOTyTmaXu2TK8LfGveIb.jpg,,,
1008392,The Blackening,5000000,tt11703244,2023-06-15,16000000,,,,,,,,,,,,,/ooB4KSRRhp7XYRQUmsi82iFnMNC.jpg,,,
982271,Book Club: The Next Chapter,20000000,tt20768712,2023-05-11,27849137,,,,,,,,,,,,,/lXoeOcWWhPpLH1wzTIhOx8jydBo.jpg,,,
864692,Pathaan,29000000,tt12844910,2023-01-25,130000000,,,,,,,,,,,,,/arf00BkwvXo0CFKbaD9OpqdE4Nu.jpg,,,
649609,Renfield,65000000,tt11358390,2023-04-07,26874347,,,,,,,,,,,,,/jG83l0tDwoQj3hBAioIsJ5rTPHw.jpg,,,
1032194,The Blind,30000000,tt16374352,2023-09-28,17265487,,,,,,,,,,,,,/sK4OHUh8NWYJNiKtQbCnebqjiM0.jpg,,,
882569,Guy Ritchie's The Covenant,55000000,tt4873118,2023-04-19,20000000,,,,,,,,,,,,,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,,,
299054,Expend4bles,100000000,tt3291150,2023-09-15,37917985,,,,,,,,,,,,,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,,,
933419,Champions,0,tt15339570,2023-03-09,9263009,,,,,,,,,,,,,/yVgtsoXyTZBww7SWE4JE1U4Wcel.jpg,,,
1040148,"Ruby Gillman, Teenage Kraken",70000000,tt27155038,2023-06-28,46247409,,,,,,,,,,,,,/8ChIb3WzYAcza1vrXR56v510MWk.jpg,,,
872906,Jawan,36150000,tt15354916,2023-09-07,136698671,,,,,,,,,,,,,/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg,,,
597,Titanic,200000000,tt0120338,1997-11-18,2264162353,,,,,,,,,,,,,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,,,
781732,Animal,13000000,tt13751694,2023-12-01,108300000,,,,,,,,,,,,,/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,,,
792293,Dumb Money,30000000,tt13957560,2023-09-15,20703794,,,,,,,,,,,,,/e9u7luSxFKOZgPTB9XHFnPArGdP.jpg,,,
635910,The Last Voyage of the Demeter,45000000,tt1001520,2023-08-09,21600000,,,,,,,,,,,,,/nrtbv6Cew7qC7k9GsYSf5uSmuKh.jpg,,,
864168,Joy Ride,20000000,tt15268244,2023-06-22,15800000,,,,,,,,,,,,,/lTZ3r9NBdbrR6NA90v3hFYqd6TC.jpg,,,
761851,His Only Son,250000,tt8277246,2023-03-30,12100000,,,,,,,,,,,,,/e85UDGmD9HmKcS0BOgoha029bkK.jpg,,,
1108658,The Shift,6500000,tt19406606,2023-11-30,12238643,,,,,,,,,,,,,/voLxg0emuu862JAgFwM4yTH3eGj.jpg,,,
